1000 5000
0 820 5
0 749 7
0 624 9
0 964 4
0 48 8
1 705 2
1 283 6
1 70 3
2 715 6
2 628 1
2 25 3
2 476 4
2 490 2
3 216 1
3 157 2
3 918 1
3 642 9
4 312 6
4 106 1
4 519 7
4 703 6
4 313 5
5 663 5
5 194 10
5 788 7
6 383 7
6 915 1
6 422 8
6 43 10
7 454 2
7 785 9
7 983 10
7 580 8
8 718 2
8 664 8
8 207 6
8 36 4
8 435 5
8 876 3
8 41 6
8 438 7
8 520 6
8 73 8
9 552 9
9 754 9
9 840 7
9 41 2
10 774 10
10 593 5
10 679 5
10 790 5
10 498 6
10 542 9
10 778 9
10 356 5
10 113 7
10 132 7
11 917 5
11 495 8
11 551 7
11 201 9
11 352 9
11 388 9
11 332 5
11 248 3
11 110 2
12 528 8
12 599 7
13 4 4
13 473 2
13 544 3
13 176 7
13 705 5
13 978 4
14 671 3
14 411 3
14 761 2
15 938 7
15 795 1
15 397 3
15 362 2
16 7 2
16 351 5
16 30 8
16 87 10
17 675 6
17 406 9
17 190 10
17 516 1
17 525 10
17 504 7
17 885 6
18 713 1
18 991 3
18 824 7
18 774 1
18 948 10
18 290 2
18 887 2
19 12 1
19 806 10
19 374 3
19 395 3
19 658 7
19 471 1
20 536 8
20 430 10
20 798 2
20 982 8
20 305 4
20 327 5
20 500 9
20 381 9
20 319 7
21 37 7
21 281 1
21 45 5
21 235 8
21 193 5
21 519 4
21 423 2
21 261 9
21 571 3
21 52 6
21 172 2
21 317 3
22 873 1
22 139 4
22 404 4
23 609 8
23 790 6
23 743 7
23 327 2
23 914 6
23 171 8
23 139 10
23 37 4
24 416 5
24 989 1
24 882 7
24 386 5
25 327 5
25 503 6
25 421 3
25 941 5
25 423 9
25 351 1
25 20 2
25 194 5
25 560 7
25 188 5
26 990 10
27 850 6
28 840 2
28 156 8
28 191 10
28 204 6
28 82 5
28 665 5
29 249 6
29 485 4
29 921 2
29 37 10
30 335 4
30 268 5
31 650 2
31 833 4
31 95 8
32 715 6
32 899 7
32 732 1
32 26 1
32 488 9
33 726 10
33 389 1
33 198 5
33 622 9
33 398 5
33 66 2
34 776 6
35 7 9
35 565 10
35 460 7
35 883 4
35 812 8
35 335 3
35 552 7
36 831 1
36 741 2
36 758 1
36 115 4
36 225 5
37 13 1
37 616 5
37 249 2
38 716 1
38 552 10
38 271 5
39 739 5
39 357 9
39 439 10
39 519 4
39 792 10
39 326 8
40 211 2
40 905 3
40 739 7
40 845 4
40 129 1
41 718 4
41 381 6
41 316 5
41 570 9
42 208 1
42 574 6
42 752 2
42 649 1
42 1 9
42 937 1
43 377 4
43 174 3
43 246 4
43 557 7
43 359 8
43 602 6
44 939 2
44 993 6
44 607 1
45 674 8
45 584 5
45 61 2
45 398 5
46 529 2
46 917 9
46 7 6
46 887 7
47 121 5
47 619 9
47 291 8
47 118 9
47 861 5
47 190 1
48 342 2
48 674 7
48 98 8
48 865 6
48 566 3
48 153 5
48 192 2
49 313 8
49 35 8
49 307 4
49 545 9
49 238 6
49 344 9
50 701 6
50 831 4
50 458 10
50 363 3
51 934 1
51 791 5
51 706 7
52 361 1
52 17 5
52 536 4
52 778 9
52 403 5
53 616 2
54 434 9
54 562 1
54 939 10
54 973 4
54 331 4
54 130 9
55 91 10
55 491 6
56 164 7
56 540 1
56 854 1
56 125 2
57 486 8
57 237 6
57 489 9
57 541 2
58 84 2
58 721 10
59 432 10
59 845 6
60 36 1
60 834 1
